flow,language,tone,subject_line
privacy-proof,en,curiosity,See the latest proof of how UrAi guards your data
privacy-proof,en,clarity,Your privacy dashboard updates are ready
privacy-proof,en,urgency,Review today’s UrAi security audit highlights
privacy-proof,es,curiosity,Conoce cómo UrAi protege tus datos hoy
privacy-proof,es,clarity,Tus paneles de privacidad ya tienen novedades
privacy-proof,es,urgency,Revisa los puntos clave de seguridad de UrAi hoy
privacy-proof,pt,curiosity,Descubra como a UrAi protege seus dados agora
privacy-proof,pt,clarity,Seus painéis de privacidade foram atualizados
privacy-proof,pt,urgency,Veja os destaques da auditoria de segurança UrAi hoje
privacy-proof,fr,curiosity,Découvrez comment UrAi protège vos données
privacy-proof,fr,clarity,Votre tableau de bord confidentialité est à jour
privacy-proof,fr,urgency,Consultez dès aujourd’hui les points clés de l’audit UrAi
privacy-proof,hi,curiosity,आज जानें UrAi आपके डेटा को कैसे सुरक्षित रखता है
privacy-proof,hi,clarity,आपका प्राइवेसी डैशबोर्ड अपडेट हो गया है
privacy-proof,hi,urgency,UrAi सुरक्षा ऑडिट की मुख्य बातें अभी देखें
privacy-proof,zh,curiosity,看看 UrAi 今天如何守护你的数据
privacy-proof,zh,clarity,你的隐私面板已有最新更新
privacy-proof,zh,urgency,立即查看 UrAi 安全审计要点
